tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2006,Rev3,15324,153,15,42,0,0,37154922,27294357,9860565,0,0,0,0,933375,1,0,0,,,,,,,0.0251
2007,Rev3,15324,153,15,40,955,4046024,88394543,79085026,9309517,2648294,3144449,74046934,0,0,0,27,1,0.4346,4236674,9748185,2773083,3292617,0.0,0.0
2009,Rev3,15324,153,15,33,737,3617262,59349698,30101679,29248019,1270726,1503041,27943344,0,1371984,1,24,0,0.1237,4908090,39685236,1724187,2039404,0.0,0.0231
2010,Rev3,15324,153,15,22,554,4816947,67368654,32443777,34924877,633350,1996913,29385755,0,16312144,1,8,0,0.1379,8694850,63041294,1143231,3604536,0.0,0.2421
2006,Rev3,15329,153,15,5,0,0,63208682,50180464,13028218,0,0,0,0,38288204,2,0,0,,,,,,,0.6057
2007,Rev3,15329,153,15,5,678,11687005,73268630,60122218,13146412,9952070,11239275,38876673,3345768,53660287,2,2,2,0.889,17237471,19389988,14678569,16577102,0.0861,0.7324
2009,Rev3,15329,153,15,2,171,1005093,16993722,12959892,4033830,0,5902987,5343903,0,0,0,0,1,0.2492,5877737,23589649,0,34520392,0.0,0.0
2010,Rev3,15329,153,15,3,149,712600,15483361,11985113,3498248,71300,230172,11705813,0,0,0,1,1,0.2037,4782550,23478174,478523,1544779,0.0,0.0
2006,Rev3,15331,153,15,82,0,0,13496576269,10655437520,2841138749,0,0,0,0,152436208,7,0,0,,,,,,,0.0113
2007,Rev3,15331,153,15,67,10217,266563029,17687522957,13108580352,4578942605,2134500188,183960339,12139090606,5134995141,11929148,1,31,11,0.0582,26090147,448168993,208916530,18005318,0.423,0.0007
2009,Rev3,15331,153,15,65,11825,269956875,28637152621,22312949536,6324203085,3138352372,352284639,21114172585,9460671754,102693423,5,27,16,0.0427,22829334,534816329,265399778,29791513,0.4481,0.0036
2010,Rev3,15331,153,15,65,11815,320209914,27541908436,19907790181,7634118255,1724605328,238786455,18890885677,8487968164,459755631,5,28,16,0.0419,27101982,646137813,145967442,20210449,0.4493,0.0167
2006,Rev3,15332,153,15,20,0,0,2368709902,2012359694,356350208,0,0,0,0,639076990,3,0,0,,,,,,,0.2698
2007,Rev3,15332,153,15,31,3077,58843860,3575601340,2574399229,1001202111,24590944,33678650,2466945521,1032744759,12751680,1,11,3,0.0588,19123776,325382552,7991857,10945288,0.4186,0.0036
2009,Rev3,15332,153,15,25,2812,63142300,5240927258,4038231937,1202695321,14237054,38551698,3793383412,1473297454,398244154,2,7,3,0.0525,22454587,427701039,5062964,13709708,0.3884,0.076
2010,Rev3,15332,153,15,22,2215,56830138,3482170226,2720720889,761449337,87797674,16643572,2625683703,1142667080,26702446,2,6,4,0.0746,25656947,343769452,39637776,7514028,0.4352,0.0077
2006,Rev3,15410,154,15,713,0,0,4220546103,2793390851,1427155252,0,0,0,0,137918991,14,0,0,,,,,,,0.0327
2007,Rev3,15410,154,15,681,56733,627155417,5249255109,3035187688,2214067421,221518494,140521097,2284477294,203464896,92843926,3,130,10,0.2833,11054508,39026095,3904579,2476885,0.0891,0.0177
2009,Rev3,15410,154,15,616,52321,753592851,6591770585,3140527052,3451243533,167935431,156422255,2516663154,279013658,122350262,15,138,11,0.2184,14403258,65962874,3209714,2989665,0.1109,0.0186
2010,Rev3,15410,154,15,589,55836,712093767,9698377865,5931160747,3767217118,283137809,335576577,4263066966,376167395,231867799,12,129,12,0.189,12753309,67469323,5070883,6010040,0.0882,0.0239
