hs6,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,isic3,isic4,bec1,intermediate
090930,3217825.0,2662640.0,1.208509,11343.83,0113,1102,1,0
090940,1860298.0,2169108.0,0.857633,8050.28,0113,1102,1,0
090950,221270.0,450801.0,0.490837,4607.31,0113,1102,1,0
091010,16703921.0,22885392.0,0.729894,6851.25,0113,1102,1,0
091020,9084.0,3256.0,2.789926,26188.01,0113,1102,1,0
091030,390248.0,119373.0,3.269148,30686.28,0113,1102,1,0
091091,151849.0,32283.0,4.703683,44151.73,0113,1102,1,0
091099,1210185.0,1288186.0,0.939449,8818.26,0113,1102,1,0
100110,69705987.0,211661157.0,0.329328,3091.28,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100190,2184144193.0,6038828532.0,0.361683,3394.99,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100200,10600.0,10000.0,1.06,9949.83,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100300,45649.0,67379.0,0.677496,6359.4,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100400,318425.0,419914.0,0.75831,7117.98,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,2,1
100510,5287431.0,1651812.0,3.200988,30046.49,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,2,1
100590,496610819.0,1691342685.0,0.293619,2756.1,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,2,1
100610,29140271.0,23764153.0,1.226228,11510.15,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100620,55000.0,50000.0,1.1,10325.29,1531,1061,1,0
100630,819602728.0,1542409250.0,0.531378,4987.85,1531,1061,1,0
100640,96825183.0,244148900.0,0.396583,3722.57,1531,1061,1,0
100700,2225028.0,8193565.0,0.271558,2549.01,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100810,853976.0,1900547.0,0.449332,4217.71,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100820,6936557.0,16400804.0,0.42294,3969.98,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100830,2372431.0,3316530.0,0.715335,6714.59,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
100890,219189.0,260343.0,0.841924,7902.83,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
110100,188833237.0,479682152.0,0.393663,3695.17,1531,1061,1,0
110220,86382.0,156875.0,0.550642,5168.67,1531,1061,1,0
110290,887158.0,2008426.0,0.441718,4146.24,1531,1061,1,0
110311,3943910.0,7713862.0,0.511276,4799.16,1531,1061,1,0
110313,31419.0,13490.0,2.329059,21862.01,1531,1061,1,0
110319,20070.0,100060.0,0.20058,1882.77,1531,1061,1,0
110320,42851.0,35467.0,1.208194,11340.87,1531,1061,1,0
110412,3942723.0,4750582.0,0.829945,7790.39,1531,1061,1,0
110419,15759.0,26743.0,0.589276,5531.31,1531,1061,1,0
110422,35248.0,14354.0,2.455622,23050.02,1531,1061,1,0
110423,231110.0,251730.0,0.918087,8617.74,1531,1061,1,0
110429,298781.0,277288.0,1.077511,10114.2,1531,1061,1,0
110430,2801.0,869.0,3.223245,30255.41,1531,1061,1,0
110510,443710.0,234659.0,1.890871,17748.91,1513,1030|1075,1,0
110520,8532509.0,5706287.0,1.495282,14035.66,1513,1030|1075,1,0
110610,433.0,601.0,0.720466,6762.75,1531,1061,1,0
110620,388091.0,66303.0,5.853295,54942.71,1531,1061,1,0
110630,1265728.0,239362.0,5.287924,49635.78,1531,1061,1,0
110710,19661022.0,33801768.0,0.581657,5459.8,1553,1103,1,0
110720,164734.0,165198.0,0.997191,9360.27,1553,1103,1,0
110811,2594937.0,5843067.0,0.444105,4168.65,1532,1062,2,1
110812,38504536.0,77631904.0,0.495989,4655.66,1532,1062,2,1
110813,14891879.0,27231199.0,0.546868,5133.25,1532,1062,2,1
110814,342844016.0,757926062.0,0.452345,4245.99,1532,1062,2,1
110819,121564.0,41093.0,2.958265,27768.14,1532,1062,2,1
110820,14143850.0,4761095.0,2.970714,27884.99,1532,1062,2,1
110900,3758343.0,4907166.0,0.765889,7189.11,1532,1062,1,0
120100,1211229966.0,1921206529.0,0.630453,5917.83,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120210,77375620.0,64462789.0,1.200314,11266.91,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120220,140910001.0,121365317.0,1.16104,10898.25,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120300,9475.0,65576.0,0.144489,1356.26,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120400,69485.0,70106.0,0.991142,9303.48,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,2,1
120510,95745.0,119881.0,0.798667,7496.79,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120590,270981.0,817893.0,0.331316,3109.94,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120600,6618856.0,13513258.0,0.489805,4597.61,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120720,150580.0,32782.0,4.593374,43116.31,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120740,8701119.0,12676554.0,0.686395,6442.93,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120750,16964.0,5745.0,2.952829,27717.11,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,1,0
120791,420.0,29.0,14.482759,135944.3,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,2,1
120799,3497930.0,1506441.0,2.321983,21795.59,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,2,1
120810,4427072.0,2078911.0,2.129515,19988.97,1514,1040,1,0
120890,39816.0,17836.0,2.232339,20954.14,1514,1040,1,0
120921,1212.0,215.0,5.637209,52914.4,0111,0111|0112|0113|0114|0115|0116|0119|0126|0128|0129|0163,2,1
